Nama_Modul,Koneksi_Internal,Fan_Out,Fan_In,Cohesion_Ratio,Instability_Index
Other_Core,5699,656,10455.0,0.897,0.059
core_admin,11,2191,1.0,0.005,1.0
core_lib,334,4967,1115.0,0.063,0.817
core_course,110,629,156.0,0.149,0.801
core_auth,17,127,4.0,0.118,0.969
core_backup,390,344,118.0,0.531,0.745
mod_choice,10,46,0.0,0.179,1.0
mod_resource,13,30,0.0,0.302,1.0
mod_workshop,36,240,0.0,0.13,1.0
mod_lti,105,188,3.0,0.358,0.984
mod_imscp,11,26,0.0,0.297,1.0
mod_assign,198,384,6.0,0.34,0.985
mod_wiki,85,137,1.0,0.383,0.993
mod_feedback,41,176,9.0,0.189,0.951
mod_quiz,138,450,7.0,0.235,0.985
mod_folder,9,27,0.0,0.25,1.0
mod_scorm,75,172,0.0,0.304,1.0
mod_data,26,255,0.0,0.093,1.0
mod_book,11,88,0.0,0.111,1.0
mod_label,2,8,0.0,0.2,1.0
mod_qbank,2,23,0.0,0.08,1.0
mod_url,13,21,0.0,0.382,1.0
mod_forum,85,207,3.0,0.291,0.986
mod_h5pactivity,3,39,0.0,0.071,1.0
mod_bigbluebuttonbn,5,100,0.0,0.048,1.0
mod_lesson,50,150,0.0,0.25,1.0
mod_subsection,2,18,0.0,0.1,1.0
mod_page,9,23,0.0,0.281,1.0
mod_glossary,13,157,1.0,0.076,0.994
